air	noun. The substance constituting Earth 's atmosphere: a gaseous mixture of nitrogen, oxygen, and various trace gases.
airable	adjective. Suitable for broadcast.
airan	noun. A Turkish cold drink made from yoghurt and water with salt and sometimes herbs.
aircraft	noun. A vehicle capable of atmospheric flight due to interaction with the air, such as buoyancy or lift.
aired	verb. simple past and past participle of air
airer	noun. A framework upon which laundry is aired; a clotheshorse.
airers	noun. plural of airer
airest	verb. second-person singular simple present indicative of air
airguns	noun. plural of airgun
airier	adjective. comparative form of airy: more airy
airily	adverb. In an airy manner.
airing	noun. Exposure of something to the air, especially fresh or warm air for the purpose of ventilating or drying; an instance of this.
airling	noun. A thoughtless, light-hearted person.
airman	noun. A pilot of an aircraft.
airmen	noun. plural of airman
airn	verb. To earn.
airned	verb. simple past and past participle of airn
airning	verb. present participle and gerund of airn
airns	verb. third-person singular simple present indicative of airn
airs	noun. plural of air
airt	verb. To guide; to direct.
airted	verb. simple past and past participle of airt
airth	noun. Alternative spelling of earth.
airting	verb. present participle and gerund of airt
airts	verb. third-person singular simple present indicative of airt
airy	adjective. Consisting of air.
ais	noun. plural of ai
aisle	noun. A wing of a building, notably in a church separated from the nave proper by piers.
aisled	adjective. Having aisles.
aisles	noun. plural of aisle
ait	noun. An island in a river, especially the River Thames in England.
aitch	noun. The name of the Latin script letter H / h.
aition	noun. An origin story or myth in Ancient Greece.
aits	noun. plural of ait
aitu	noun. A ghost or spirit, often malevolent, in Polynesian mythology.
aitus	noun. plural of aitu
aizle	noun. Alternative form of izle.
aizles	noun. plural of aizle
ake	verb. Obsolete spelling of ache.
aked	verb. simple past and past participle of ake
akee	noun. Alternative spelling of ackee.
akees	noun. plural of akee
akene	noun. Alternative spelling of achene.
akenes	noun. plural of akene
aker	noun. Obsolete spelling of acre
akes	verb. third-person singular simple present indicative of ake
akhoond	noun. Alternative spelling of akhund.
akin	adjective. Of persons, of the same kin; related by blood.
aking	verb. present participle and gerund of ake
aknee	adverb. On the knees.
ako	symbol. ISO 639-3 language code for Akurio.
akra	noun. Alternative spelling of accra.
aku	symbol. ISO 639-3 language code for Akum.
ala	noun. A wing or winglike anatomic process or part, especially of bone.
alae	noun. plural of ala.
